,c,h,l,o,s,t,v
0,8.5972,8.8387,7.61,7.807,ok,1549584000,4960284.84
1,8.9051,8.921,8.4052,8.5972,ok,1549670400,5440051.11
2,9.1697,9.2999,8.8264,8.9001,ok,1549756800,5750442.06
3,9.5288,9.778,9.01,9.1695,ok,1549843200,6041136.07
4,9.2765,9.9,8.921,9.525,ok,1549929600,4945231.46
5,8.9103,9.2763,8.71,9.2763,ok,1550016000,4005598.1
6,8.7655,9.05,8.4051,8.9165,ok,1550102400,2803390.01
7,9.2911,9.4997,8.7293,8.7636,ok,1550188800,3326003.04
8,9.1087,9.3399,9.048,9.2854,ok,1550275200,2499086.4
9,9.22,9.22,8.8903,9.0972,ok,1550361600,2460188.81
10,9.6127,9.6999,9.1777,9.2167,ok,1550448000,2809984.65
11,10.4728,11.1307,9.481,9.6127,ok,1550534400,4894965.38
12,10.9211,11.2951,10.3928,10.4687,ok,1550620800,4346711.07
13,10.4661,10.936,10.13,10.9199,ok,1550707200,3077022.99
14,10.7576,10.9611,10.3799,10.4695,ok,1550793600,3038507.76
15,10.7265,10.85,10.4,10.7572,ok,1550880000,2877713.15
16,9.9476,11.09,9.3901,10.7267,ok,1550966400,4800152.25
17,9.6967,10.2361,9.2685,9.9442,ok,1551052800,5348579.57
18,9.4168,9.7557,9.3551,9.6967,ok,1551139200,3118340.95
19,9.8467,9.9998,9.35,9.4238,ok,1551225600,3524897.35
20,10.2779,10.4914,9.7899,9.8502,ok,1551312000,3693794.54
21,11.3111,11.551,10.2067,10.2777,ok,1551398400,4025695.97
22,11.7566,11.8,10.8,11.3353,ok,1551484800,3893847.16
23,11.4511,11.8701,11.1902,11.7564,ok,1551571200,2853200.15
24,11.4006,11.508,10.85,11.4511,ok,1551657600,2739049.08
25,13.6229,13.75,11.395,11.405,ok,1551744000,8340655.32
26,14.5294,14.663,12.9,13.623,ok,1551830400,6158611.97
27,15.1,15.56,14.327,14.529,ok,1551916800,6757497.33
28,14.2931,15.2194,13.5578,15.0999,ok,1552003200,6343194.03
29,14.4651,14.92,13.9609,14.2848,ok,1552089600,3996324.55
30,14.3711,14.5075,13.86,14.4651,ok,1552176000,3531708.7
31,14.4143,14.9,14.011,14.3741,ok,1552262400,3757653.77
32,15.3333,15.4288,14.1809,14.4133,ok,1552348800,4049068.39
33,15.0244,15.38,14.9333,15.3459,ok,1552435200,3282883.18
34,14.8901,15.097,14.563,15.0311,ok,1552521600,3079956.93
35,14.9432,15.199,14.84,14.8993,ok,1552608000,2986987.69
36,15.9589,16.0,14.88,14.9429,ok,1552694400,3293876.13
37,15.5693,15.9589,15.44,15.9589,ok,1552780800,3106901.48
38,15.5388,15.7888,15.204,15.5836,ok,1552867200,2472584.89
39,15.4953,15.8,15.0,15.5361,ok,1552953600,4271050.4
40,15.1288,15.5098,15.022,15.5098,ok,1553040000,2369648.38
41,14.3511,15.2987,13.8607,15.1288,ok,1553126400,3015066.53
42,15.1502,15.226,14.231,14.3567,ok,1553212800,2695850.87
43,15.1397,15.44,14.9469,15.1524,ok,1553299200,2632489.7
44,17.1096,17.5,14.66,15.1397,ok,1553385600,5285367.1
45,16.7631,17.338,16.1,17.1112,ok,1553472000,2775613.86
46,16.1998,16.8,15.5301,16.7761,ok,1553558400,2725145.68
47,16.6,16.8297,15.8697,16.1928,ok,1553644800,3240914.25
48,16.6665,16.7188,16.401,16.6,ok,1553731200,2988300.97
49,16.4753,16.8067,16.377,16.6538,ok,1553817600,2737173.2
50,16.9666,16.985,15.9612,16.4949,ok,1553904000,2790050.93
51,17.5376,17.7386,16.7314,16.9666,ok,1553990400,3182964.85
52,17.8888,18.2576,17.3319,17.5201,ok,1554076800,2966204.71
53,19.7155,19.88,17.5303,17.8888,ok,1554163200,3356886.89
54,18.5489,20.0,18.0,19.7155,ok,1554249600,3532965.97
55,18.992,19.41,18.16,18.5388,ok,1554336000,2939082.42
56,19.3657,19.4593,18.8445,18.971,ok,1554422400,2703355.91
57,19.0745,19.3866,18.82,19.3658,ok,1554508800,2519027.63
58,18.9523,19.2137,18.8,19.0423,ok,1554595200,2329702.34
59,17.9777,19.042,17.7881,18.9507,ok,1554681600,2142481.92
60,18.2984,18.54,17.01,17.9728,ok,1554768000,2776440.48
61,18.24,18.6095,17.8927,18.2984,ok,1554854400,2553039.12
62,17.5555,18.24,16.2501,18.24,ok,1554940800,1815271.05
63,18.3333,18.552,16.612,17.5555,ok,1555027200,2325593.36
64,18.6111,18.6398,17.9143,18.2867,ok,1555113600,2205194.61
65,19.3866,19.9,18.4259,18.6111,ok,1555200000,2438051.21
66,19.2666,19.78,18.6601,19.3734,ok,1555286400,2218308.03
67,19.6408,19.7482,18.7064,19.2668,ok,1555372800,2237334.6
68,19.4888,19.7908,19.26,19.6399,ok,1555459200,2005582.6
69,21.8888,21.998,19.4333,19.4757,ok,1555545600,3686092.57
70,24.3188,24.7459,21.12,21.8888,ok,1555632000,4247944.38
71,24.8888,25.4973,23.76,24.3188,ok,1555718400,3545157.49
72,23.9999,24.8693,22.45,24.8693,ok,1555804800,3307426.84
73,23.8,24.6368,23.02,23.9999,ok,1555891200,3005735.93
74,22.546,24.6131,22.47,23.7812,ok,1555977600,2877995.49
75,22.9703,23.1209,20.88,22.5207,ok,1556064000,2961681.74
76,22.4863,23.4698,21.55,22.9877,ok,1556150400,3114460.9
77,23.0555,23.786,21.6503,22.4869,ok,1556236800,3273950.47
78,22.4324,23.1209,22.3876,23.0555,ok,1556323200,2989261.07
79,23.0226,23.2092,22.42,22.4326,ok,1556409600,3015774.29
80,21.6788,23.0828,21.2797,23.0166,ok,1556496000,2388965.07
81,22.0391,22.3,21.3292,21.6847,ok,1556582400,2197565.53
82,21.8788,22.099,21.47,22.03,ok,1556668800,2064791.54
83,23.6166,24.127,21.7497,21.881,ok,1556755200,2446015.2
84,23.6999,23.972,23.0101,23.6168,ok,1556841600,2230465.58
85,22.8888,23.7968,22.3,23.6999,ok,1556928000,1898934.62
86,22.9777,23.1772,22.6408,22.8887,ok,1557014400,1787108.39
87,22.1895,22.9973,21.45,22.9777,ok,1557100800,1764747.54
88,20.6602,22.45,20.205,22.2018,ok,1557187200,1813897.12
89,20.6673,21.4135,19.51,20.6602,ok,1557273600,2742356.42
90,18.8388,20.967,18.5402,20.6671,ok,1557360000,2334477.6
91,19.6166,19.9888,18.3,18.8377,ok,1557446400,2429624.32
92,20.8059,22.0,18.88,19.6294,ok,1557532800,3746402.53
93,20.8934,21.5,20.1,20.7871,ok,1557619200,3228794.38
94,23.521,24.0,20.7349,20.9026,ok,1557705600,4566012.58
95,23.6553,24.5,22.5748,23.521,ok,1557792000,3821993.16
96,26.8116,27.6556,23.46,23.6553,ok,1557878400,3433770.34
97,26.2888,27.79,25.0,26.8348,ok,1557964800,4200071.24
98,25.7795,26.6783,23.1424,26.2888,ok,1558051200,3429086.56
99,28.8171,29.0989,25.1124,25.7986,ok,1558137600,4319102.35
100,29.1122,29.8368,27.543,28.8165,ok,1558224000,4437585.54
101,29.2666,29.3399,27.5306,29.1122,ok,1558310400,3980328.45
102,32.3907,32.8,28.05,29.2666,ok,1558396800,4704491.98
103,30.8067,32.4374,30.61,32.3911,ok,1558483200,3807962.58
104,31.3934,32.25,29.6699,30.8333,ok,1558569600,3793076.85
105,33.9435,34.7067,31.12,31.3986,ok,1558656000,4534224.56
106,35.0168,35.4888,33.6231,34.0,ok,1558742400,4181724.12
107,33.0919,35.111,32.32,35.1102,ok,1558828800,3846254.14
108,33.511,35.1001,32.5,33.0508,ok,1558915200,3935155.37
109,33.1068,34.5,32.5,33.511,ok,1559001600,3592623.04
110,33.6066,33.88,30.85,33.1086,ok,1559088000,3634528.09
111,31.6666,34.96,30.25,33.5977,ok,1559174400,3803964.59
112,32.8862,32.9724,30.61,31.6666,ok,1559260800,3635551.08
113,33.3521,34.353,32.5024,32.916,ok,1559347200,3650894.16
114,33.1527,33.7647,32.68,33.3521,ok,1559433600,3125339.52
115,30.7564,33.1753,30.51,33.1343,ok,1559520000,2851908.73
116,29.2596,31.4673,28.7168,30.7358,ok,1559606400,2877003.62
117,30.8886,31.1843,28.944,29.2452,ok,1559692800,3345894.9
118,31.0888,31.9906,29.63,30.829,ok,1559779200,2990485.46
119,31.3098,31.9911,30.9001,31.0888,ok,1559865600,2757731.91
120,31.7333,32.2926,31.1071,31.3478,ok,1559952000,3230284.59
121,30.095,31.85,29.7611,31.7042,ok,1560038400,2532504.3
122,32.0271,32.0438,29.7286,30.1174,ok,1560124800,3550536.78
123,31.8889,32.0821,30.9312,32.0261,ok,1560211200,2717716.57
124,34.8888,34.98,31.8008,31.8889,ok,1560297600,3946303.19
125,35.251,36.3689,34.12,34.8888,ok,1560384000,3534896.06
126,32.3803,35.3,29.8146,35.2577,ok,1560470400,4820144.32
127,32.6743,33.942,31.6865,32.3887,ok,1560556800,3391510.23
128,32.1888,33.2943,31.7316,32.6885,ok,1560643200,2831357.27
129,33.8286,34.45,32.1862,32.1956,ok,1560729600,3325355.03
130,34.4333,35.0749,33.7386,33.8542,ok,1560816000,3404180.0
131,35.1888,35.6,34.3939,34.4261,ok,1560902400,3662780.35
132,36.8381,36.9146,34.3979,35.1764,ok,1560988800,4152117.65
133,38.6766,38.85,36.3364,36.81,ok,1561075200,3534250.01
134,38.0001,39.5941,37.1,38.6981,ok,1561161600,3314950.67
135,37.2836,38.532,37.26,38.0001,ok,1561248000,2790608.54
136,37.43,37.821,36.0001,37.2665,ok,1561334400,2631717.19
137,36.0941,37.551,35.71,37.43,ok,1561420800,2000917.7
138,36.1189,38.0,34.5,36.0941,ok,1561507200,2857418.8
139,34.3999,36.35,33.1584,36.1185,ok,1561593600,2607428.95
140,34.6289,35.2809,33.82,34.342,ok,1561680000,2104975.25
141,35.5,35.8,33.2447,34.5951,ok,1561766400,2591596.98
142,32.114,35.5111,32.02,35.5111,ok,1561852800,2022992.01
143,33.2777,34.05,31.3682,32.1141,ok,1561939200,1835906.62
144,31.9777,34.0,30.56,33.2722,ok,1562025600,2017364.12
145,32.522,33.05,31.623,31.953,ok,1562112000,1929917.65
146,33.0888,34.3839,32.1503,32.5219,ok,1562198400,2194259.8
147,32.5566,33.6497,32.4,33.0399,ok,1562284800,1501826.74
148,32.5888,33.1815,32.5,32.5507,ok,1562371200,1122287.44
149,32.9344,33.3997,32.4,32.5471,ok,1562457600,1219900.05
150,33.3888,34.2918,32.75,32.9326,ok,1562544000,1493676.78
151,32.4811,33.9,32.2195,33.3888,ok,1562630400,1226644.52
152,31.222,32.89,30.51,32.4814,ok,1562716800,1583726.64
153,29.4181,31.89,28.2666,31.222,ok,1562803200,1746010.06
154,31.8888,32.6219,29.0,29.4213,ok,1562889600,2944729.48
155,31.4888,32.4894,30.2075,31.8727,ok,1562976000,1744138.78
156,28.5447,31.5259,28.3111,31.4701,ok,1563062400,2117967.02
157,28.647,28.7498,26.319,28.5447,ok,1563148800,2958931.55
158,25.0601,29.58,24.8626,28.647,ok,1563235200,3723845.18
159,27.6287,28.2898,24.1709,25.0552,ok,1563321600,5620644.87
160,28.9555,29.5,26.8,27.6259,ok,1563408000,6272574.38
161,29.0096,29.96,28.3158,28.9505,ok,1563494400,3934648.14
162,31.0932,31.46,28.9,29.0015,ok,1563580800,2871032.06
163,30.4388,31.5281,29.2801,31.1222,ok,1563667200,2167635.68
164,30.885,32.6,29.6203,30.4389,ok,1563753600,3469751.44
165,29.4929,30.94,28.9471,30.9226,ok,1563840000,2639256.42
166,28.8261,29.5057,27.7426,29.4381,ok,1563926400,2337675.12
167,28.9227,29.6596,28.4444,28.8275,ok,1564012800,2187610.96
168,28.9,29.05,28.1641,28.9227,ok,1564099200,1929538.17
169,27.7498,29.4502,27.2061,28.9,ok,1564185600,1490587.94
170,27.7555,27.8459,26.42,27.7384,ok,1564272000,1330561.28
171,26.9525,28.0419,26.8202,27.7556,ok,1564358400,1145223.44
172,26.9867,27.1198,26.202,26.9539,ok,1564444800,1143523.29
173,27.75,27.83,26.78,26.9879,ok,1564531200,1934429.49
174,28.7088,28.7664,27.45,27.7348,ok,1564617600,2252484.64
175,28.14,28.7186,27.5643,28.71,ok,1564704000,1503260.49
176,27.7333,28.3409,27.5,28.14,ok,1564790400,1209344.97
177,27.3834,27.7719,27.0852,27.7333,ok,1564876800,968862.84
178,28.0114,28.3,27.3011,27.3834,ok,1564963200,1170561.81
179,27.6523,28.3125,27.3333,28.0127,ok,1565049600,1420475.2
180,29.6694,29.98,27.333,27.6539,ok,1565136000,2406222.92
181,31.1074,31.8791,29.1914,29.669,ok,1565222400,3071362.08
182,29.8188,31.5,29.6666,31.1426,ok,1565308800,1469206.79
183,29.6661,30.02,29.0333,29.7969,ok,1565395200,1310985.06
184,30.2439,30.4458,29.3,29.6666,ok,1565481600,1563332.29
185,30.1856,30.5936,29.823,30.2418,ok,1565568000,1525430.31
186,29.4512,30.4496,29.2,30.1856,ok,1565654400,1164703.53
187,27.0256,29.4693,26.75,29.4512,ok,1565740800,1193540.54
188,28.1058,28.2174,26.7,27.0065,ok,1565827200,1244704.8
189,27.5111,28.1313,26.788,28.1052,ok,1565913600,965369.63
190,27.5038,27.9605,26.9863,27.4908,ok,1566000000,963986.7
191,27.8977,28.1797,27.0511,27.5037,ok,1566086400,1210998.25
192,28.7931,29.1779,27.6884,27.9033,ok,1566172800,1802660.04
193,28.0286,28.8079,27.52,28.7974,ok,1566259200,1232000.47
194,26.925,28.051,26.3,28.0375,ok,1566345600,1007261.99
195,26.9731,27.3301,26.211,26.9328,ok,1566432000,1087596.45
196,26.94,27.2864,26.5,26.9788,ok,1566518400,1084259.29
197,26.2814,26.9586,26.01,26.9399,ok,1566604800,917921.54
198,26.0888,26.4,25.57,26.2982,ok,1566691200,934538.7
199,26.1257,27.1908,25.6502,26.0886,ok,1566777600,1816730.9
200,25.6051,26.1507,24.6224,26.1341,ok,1566864000,1196769.36
201,23.3565,26.129,23.203,25.6056,ok,1566950400,1445782.29
202,21.7777,23.3559,21.2202,23.3559,ok,1567036800,1617357.37
203,22.1448,22.5678,21.5,21.7894,ok,1567123200,1599602.49
204,21.0604,22.37,20.8857,22.1449,ok,1567209600,1372689.99
205,21.4248,21.6828,20.98,21.0602,ok,1567296000,1434203.84
206,22.7449,22.8303,21.01,21.4195,ok,1567382400,1744034.29
207,22.3511,22.89,22.1615,22.7449,ok,1567468800,1355982.53
208,21.6764,22.5998,21.4699,22.3521,ok,1567555200,1086933.26
209,22.6388,23.5213,21.3,21.6821,ok,1567641600,2252665.09
210,21.9906,23.445,21.6997,22.6442,ok,1567728000,2011805.46
211,22.3996,22.65,21.91,21.9932,ok,1567814400,1683916.96
212,22.4111,22.7321,22.0,22.3961,ok,1567900800,1308063.92
213,22.0978,22.4901,21.74,22.3747,ok,1567987200,1013284.39
214,21.7679,22.3262,21.5,22.104,ok,1568073600,831852.96
215,20.7334,22.0724,20.5413,21.7704,ok,1568160000,1069320.6
216,20.82,20.9572,19.65,20.7315,ok,1568246400,1700773.17
217,20.788,21.2475,20.4088,20.8236,ok,1568332800,1429273.21
218,20.9555,21.15,20.6714,20.7889,ok,1568419200,1306146.56
219,20.2901,21.0419,20.2619,20.9438,ok,1568505600,1149167.08
220,20.2422,20.8,19.8775,20.2901,ok,1568592000,1035427.91
221,21.0473,21.439,20.03,20.246,ok,1568678400,1845592.27
222,22.2018,23.17,20.9442,21.0302,ok,1568764800,3303465.14
223,21.5376,22.4383,20.0022,22.2018,ok,1568851200,1611944.94
224,21.2695,21.5764,20.9005,21.5281,ok,1568937600,1390566.5
225,20.9666,21.4494,20.8096,21.2741,ok,1569024000,1127512.7
226,20.3602,20.9912,20.0,20.9732,ok,1569110400,972362.63
227,19.3228,20.364,19.1614,20.364,ok,1569196800,1094670.56
228,15.8249,19.5,14.5,19.3127,ok,1569283200,2718637.43
229,16.0321,16.4882,14.8945,15.824,ok,1569369600,1826023.89
230,15.2212,16.4,14.2555,16.0138,ok,1569456000,1807568.44
231,15.6666,15.777,14.7,15.2113,ok,1569542400,1435874.03
232,15.7346,15.8729,15.2911,15.6666,ok,1569628800,1098737.85
233,15.1999,15.7953,14.8018,15.7335,ok,1569715200,965380.71
234,15.8349,15.8506,14.62,15.187,ok,1569801600,1129249.13
235,15.8563,16.28,15.6295,15.8493,ok,1569888000,1179806.15
236,15.8742,15.8892,15.5,15.8689,ok,1569974400,950491.27
237,15.6377,15.929,15.25,15.89,ok,1570060800,904724.95
238,15.6133,15.82,15.21,15.6489,ok,1570147200,858010.95
239,15.6869,15.7794,15.3644,15.6028,ok,1570233600,815215.74
240,15.0688,15.7299,14.9,15.6866,ok,1570320000,821939.84
241,16.0255,16.128,14.8555,15.0655,ok,1570406400,1138453.45
242,16.0213,16.4007,15.7959,16.0255,ok,1570492800,992060.4
243,17.7177,17.9999,15.8829,16.0206,ok,1570579200,2825143.73
244,17.5288,17.918,17.031,17.7089,ok,1570665600,1785750.54
245,16.5666,17.7,16.51,17.5328,ok,1570752000,1477611.99
246,17.17,17.4868,16.5059,16.5666,ok,1570838400,1405695.82
247,18.256,18.7699,17.111,17.1666,ok,1570924800,2233894.43
248,18.4376,18.6275,17.8511,18.256,ok,1571011200,1643019.36
249,18.5643,19.17,18.1,18.4389,ok,1571097600,2919838.62
250,17.7401,18.647,17.3627,18.56,ok,1571184000,1818495.34
251,18.5188,18.8346,17.562,17.7504,ok,1571270400,1889272.66
252,18.2188,18.7501,17.6733,18.5205,ok,1571356800,1428262.33
253,18.2229,18.4444,17.8575,18.2188,ok,1571443200,1457873.52
254,18.4997,18.58,17.7152,18.2189,ok,1571529600,1696662.02
255,18.2551,18.5171,17.91,18.4897,ok,1571616000,1497277.47
256,18.2286,18.8,18.0692,18.2534,ok,1571702400,1820100.14
257,16.6796,18.27,16.1213,18.2581,ok,1571788800,1846223.72
258,16.9194,17.0987,16.31,16.6798,ok,1571875200,1244966.99
259,18.6188,19.111,16.7516,16.9194,ok,1571961600,2887081.78
260,18.9501,19.7653,18.0308,18.6189,ok,1572048000,3135045.71
261,19.2888,19.63,18.4744,18.9311,ok,1572134400,2293853.06
262,19.939,21.15,19.26,19.2938,ok,1572220800,2713065.62
263,20.7452,21.2378,19.81,19.9379,ok,1572307200,2298554.91
264,20.052,20.7975,19.1076,20.73,ok,1572393600,1822916.43
265,19.9099,20.37,19.3529,20.05,ok,1572480000,1679420.04
266,19.9999,20.0399,19.6424,19.9087,ok,1572566400,1305053.67
267,20.1745,20.3,19.96,19.9999,ok,1572652800,1605037.27
268,20.1874,20.39,19.8053,20.1847,ok,1572739200,1331174.6
269,20.6139,20.88,20.0285,20.1725,ok,1572825600,1642901.21
270,20.6588,20.89,20.32,20.6139,ok,1572912000,1435739.44
271,20.7,20.9399,20.4408,20.6621,ok,1572998400,1304183.99
272,20.4208,20.849,19.91,20.6993,ok,1573084800,1034081.11
273,19.646,20.5164,19.2609,20.4342,ok,1573171200,1087142.07
274,19.6999,19.9632,19.4626,19.646,ok,1573257600,886139.1
275,20.4333,20.6,19.6694,19.7042,ok,1573344000,1289880.02
276,20.0888,20.6277,19.7497,20.4323,ok,1573430400,1002832.24
277,20.9798,20.9798,19.9443,20.0977,ok,1573516800,1236966.44
278,21.3846,21.8,20.68,20.9797,ok,1573603200,1369703.62
279,21.3166,21.6492,20.7111,21.3883,ok,1573689600,1177736.52
280,20.2735,21.3353,19.9614,21.3165,ok,1573776000,1367539.25
281,20.1631,20.5999,19.9,20.2871,ok,1573862400,1001272.54
282,20.194,20.4359,19.75,20.1641,ok,1573948800,1154323.15
283,19.0817,20.1916,18.6,20.1889,ok,1574035200,1370495.1
284,18.4997,19.28,18.08,19.0817,ok,1574121600,1218553.06
285,18.0826,18.7494,17.7738,18.4999,ok,1574208000,1209633.01
286,16.7985,18.2399,16.34,18.0827,ok,1574294400,1724139.73
287,15.485,17.2798,14.2846,16.7986,ok,1574380800,3361932.03
288,16.232,16.3483,14.957,15.4875,ok,1574467200,1941371.46
289,14.9964,16.506,14.9,16.2321,ok,1574553600,2155053.88
290,15.1457,15.76,13.88,15.0152,ok,1574640000,3066863.34
291,15.3564,15.89,14.9382,15.1466,ok,1574726400,1658330.79
292,16.0888,16.2255,14.5811,15.3565,ok,1574812800,2414012.37
293,15.5333,16.1899,15.4404,16.0888,ok,1574899200,1619471.91
294,16.2281,16.2998,15.4692,15.5255,ok,1574985600,2034467.97
295,15.7118,16.2765,15.4501,16.2281,ok,1575072000,1435716.21
296,15.4297,15.7139,14.8,15.703,ok,1575158400,1232843.2
297,15.1288,15.62,15.019,15.4287,ok,1575244800,1205508.52
298,15.2542,15.4255,15.0475,15.1394,ok,1575331200,1260422.82
299,15.1,15.88,14.8275,15.2545,ok,1575417600,1491285.42
300,15.6555,15.72,14.806,15.1254,ok,1575504000,1705007.77
301,15.6666,15.7498,15.3,15.6532,ok,1575590400,1427720.75
302,15.6067,15.8199,15.519,15.657,ok,1575676800,1249702.29
303,15.6121,15.72,15.3496,15.6066,ok,1575763200,1097781.57
304,15.3284,15.799,15.1838,15.5947,ok,1575849600,959668.49
305,14.8088,15.3454,14.6,15.3284,ok,1575936000,1002642.2
306,14.78,14.9984,14.6,14.8004,ok,1576022400,803255.65
307,14.7238,14.8495,14.35,14.78,ok,1576108800,740743.5
308,14.8555,14.9775,14.66,14.7165,ok,1576195200,883903.56
309,14.3888,15.0,14.1629,14.8555,ok,1576281600,841053.92
310,14.3949,14.493,14.1361,14.3887,ok,1576368000,786545.74
311,13.4544,14.4356,13.258,14.3946,ok,1576454400,1130101.43
312,12.381,13.475,12.1111,13.4721,ok,1576540800,1686074.79
313,13.6158,13.7348,12.21,12.3837,ok,1576627200,2322029.57
314,13.3441,13.7631,12.9624,13.6247,ok,1576713600,1378005.7
315,13.5,13.5291,13.08,13.3519,ok,1576800000,1397599.99
316,13.2933,13.51,13.26,13.4932,ok,1576886400,1260784.85
317,13.7798,13.8309,13.2689,13.2874,ok,1576972800,1505338.18
318,13.2998,13.9447,13.2,13.7768,ok,1577059200,1226252.01
319,13.3369,13.5916,13.2299,13.2987,ok,1577145600,1307251.73
320,13.0666,13.3522,12.85,13.334,ok,1577232000,923872.82
321,13.1414,13.5466,13.023,13.0665,ok,1577318400,1061255.7
322,13.2888,13.2981,12.8927,13.1349,ok,1577404800,1109927.01
323,13.6779,13.72,13.2569,13.2888,ok,1577491200,1358908.6
324,14.104,14.2186,13.575,13.6788,ok,1577577600,1608498.67
325,13.8597,14.3796,13.78,14.0984,ok,1577664000,1255190.1
326,13.7161,14.0564,13.64,13.8597,ok,1577750400,970355.9
327,13.7184,13.8692,13.65,13.7159,ok,1577836800,940625.04
328,13.0105,13.7302,12.98,13.7072,ok,1577923200,971190.67
329,13.6474,13.75,12.9801,13.0104,ok,1578009600,1458450.49
330,13.8092,13.871,13.5102,13.6481,ok,1578096000,1231281.06
331,14.0532,14.3133,13.791,13.7978,ok,1578182400,1458003.02
332,14.9471,14.9873,14.0168,14.0488,ok,1578268800,1633712.04
333,15.0226,15.187,14.456,14.9427,ok,1578355200,1458769.7
334,14.5334,15.32,14.2,15.0212,ok,1578441600,1497529.49
335,14.3978,14.5823,14.201,14.5334,ok,1578528000,1075088.98
336,15.07,15.0973,14.11,14.3806,ok,1578614400,1572086.31
337,14.9177,15.32,14.7111,15.0643,ok,1578700800,1397398.3
338,15.3366,15.4707,14.8001,14.9137,ok,1578787200,2042903.51
339,15.1736,15.3572,14.9295,15.337,ok,1578873600,1522093.0
340,16.6371,16.91,15.1659,15.1735,ok,1578960000,2711583.22
341,17.6655,18.19,16.27,16.6301,ok,1579046400,3041574.63
342,17.0333,17.6923,16.31,17.6655,ok,1579132800,1842017.29
343,18.0724,18.4849,17.04,17.04,ok,1579219200,2734829.93
344,17.8088,18.3602,17.45,18.0763,ok,1579305600,1903293.0
345,17.388,18.495,16.6666,17.7954,ok,1579392000,2128210.74
346,17.3235,17.5516,16.8043,17.3706,ok,1579478400,1576499.08
347,18.1166,18.2,17.2228,17.3265,ok,1579564800,1923914.5
348,17.8344,18.4,17.55,18.1107,ok,1579651200,1607749.78
349,17.0524,17.8344,16.7441,17.8344,ok,1579737600,1363632.79
350,17.1148,17.4429,16.4288,17.0813,ok,1579824000,1411501.98
351,16.9555,17.1215,16.5685,17.1133,ok,1579910400,1211416.32
352,17.499,17.499,16.8315,16.9419,ok,1579996800,1619344.75
353,17.67,17.95,17.2198,17.4919,ok,1580083200,1562998.84
354,18.0662,18.16,17.4466,17.67,ok,1580169600,1916526.07
355,17.9134,18.4437,17.809,18.0614,ok,1580256000,1452764.7
356,18.5555,18.7027,17.7,17.9296,ok,1580342400,1787521.22
357,18.2644,18.88,17.8,18.5557,ok,1580428800,1647399.08
358,18.2752,18.5956,18.03,18.2644,ok,1580515200,1511588.86
359,18.4333,18.7714,17.8277,18.2753,ok,1580601600,1558716.52
360,18.46,18.8763,18.1959,18.4333,ok,1580688000,1314693.12
361,18.1778,18.6158,17.87,18.461,ok,1580774400,1215609.2
362,19.262,19.4583,18.1635,18.1778,ok,1580860800,2068915.04
363,20.6675,20.84,19.03,19.2686,ok,1580947200,2794537.34
364,22.0555,22.5221,20.5199,20.6665,ok,1581033600,3187751.23
365,21.8172,22.19,20.8943,22.036,ok,1581120000,1975842.48
